fuel,scenario,co2_kg_per_mwh,notes
biomass,official,0,UK carbon accounting: CO2 from biomass counted as zero at point of combustion (UNFCCC rules)
biomass,combustion_only,1000,"CO2 released at chimney: 1700 kg CO2 per tonne of pellets / 17 GJ per tonne = 100 kg/GJ, at ~36% plant efficiency (10 GJ fuel per MWh). Slightly HIGHER than coal"
biomass,with_supply_chain,1060,"Adds harvesting, chipping, drying, pelletising (~40 kg/MWh) and transport (~20 kg/MWh) to combustion"
biomass,payback_20yr,365,Net emissions if forest regrows and reabsorbs ~64% of combustion CO2 over 20 years; assumes managed plantation forestry
biomass,payback_40yr,165,Net emissions over 40-year regrowth cycle (~83% reabsorbed); typical for SE US hardwood forests
biomass,payback_100yr,45,Net emissions over 100-year regrowth (~96% reabsorbed); approaches carbon neutrality but far beyond 2050 target
coal,official,910,"DESNZ grid carbon factor for coal generation, includes combustion only"
coal,with_supply_chain,990,"Adds mining, processing, and transport emissions (~80 kg/MWh)"
gas,official,360,DESNZ grid carbon factor for CCGT gas generation
gas,with_supply_chain,410,"Adds extraction, processing, pipeline/LNG transport, and methane leakage (~50 kg/MWh)"
wind,lifecycle,11,"Full lifecycle including manufacture, installation, and decommissioning; no combustion emissions"
solar,lifecycle,25,"Full lifecycle including panel manufacture (often in China), installation, and disposal"
